trade_year,train_start,train_end,trade_start,trade_end,best_mom_lookback,best_entry_pct,best_exit_pct,best_train_composite,best_train_selection_mode,best_train_stability_threshold,best_train_stability_max_gap,best_train_annualized_return,best_train_sharpe_ratio,oos_annualized_return,oos_sharpe_ratio,oos_calmar_ratio,oos_sortino_ratio,oos_ulcer_index,oos_ulcer_performance_index,oos_max_drawdown,oos_trade_count_total,oos_sqn_recent_100,search_eligible_cases,search_total_cases,search_error_cases
2017,2012-01-01,2016-12-31,2017-01-01,2017-12-31,19,0.0,0.0,0.8315132846246418,stable_primary,0.18844047599064562,0.1405375838576871,0.07149139726447062,1.1349327055767213,0.08018894872789262,1.3784682829926385,3.038221456290431,2.2412051768117327,1.1253255978071801,7.1258441898193325,-0.026393385038429917,116.0,2.913765619362242,18,275,0
2018,2013-01-01,2017-12-31,2018-01-01,2018-12-31,21,0.0,-2.0,0.8848391342114668,stable_primary,0.14201150363910509,0.14201150363910509,0.09878069993721583,1.4476843640201484,-0.08066107313642956,-0.8968584896832904,-0.8023106140916,-1.1766430929804823,5.127330669880685,-1.5731591802778457,-0.10053596664398667,69.0,-0.6178850075178225,37,275,0
2019,2014-01-01,2018-12-31,2019-01-01,2019-12-31,16,2.0,-2.0,0.7702314924436771,stable_primary,0.18227092625625407,0.18227092625625407,0.0929941754979764,1.2141496141260428,0.2129640718490977,2.32318600293306,5.089023381880453,4.124596497311429,1.4887158620475032,14.305219503485231,-0.041847729096187614,72.0,3.217696895858834,62,275,0
2020,2015-01-01,2019-12-31,2020-01-01,2020-12-31,19,2.0,0.0,0.7161711456031321,stable_primary,0.18580269356678047,0.18580269356678047,0.08518672488410428,1.1413668476412935,0.40011850943541116,3.1678896520205515,6.345255933948276,6.247710826887226,2.0698777326414945,19.330538375558834,-0.06305789925583682,136.0,3.2140605916798233,82,275,0
2021,2016-01-01,2020-12-31,2021-01-01,2021-12-31,18,2.0,-2.0,0.833668137611377,stable_primary,0.1263251840296642,0.1263251840296642,0.13390099983871928,1.5106539470406701,0.12711926994532896,1.4246372554298057,3.1998837814561836,2.287522280016247,1.7564038672999245,7.2374738129417935,-0.03972621464629578,129.0,3.8915348730572936,136,275,0
2022,2017-01-01,2021-12-31,2022-01-01,2022-12-31,19,3.0,0.0,0.7807711222820996,stable_primary,0.08950239482106337,0.0315211585069487,0.15099513500948314,1.6583931691577323,0.02303410890928337,0.25987993948262744,0.22140563717071096,0.4179714407914472,5.132667364264626,0.44877462875647584,-0.1040357833866864,137.0,1.432002424911433,174,275,0
2023,2018-01-01,2022-12-31,2023-01-01,2023-12-31,23,2.0,-4.0,0.8810697520083423,stable_primary,0.1019255870296738,0.1019255870296738,0.12521557592727328,1.3337707299815398,0.025640330265387368,0.336413863923877,0.2520590405209657,0.5923861167607913,4.559995855144005,0.5622884555139063,-0.10172350974752942,120.0,2.448504293171014,176,275,0
2024,2019-01-01,2023-12-31,2024-01-01,2024-12-31,24,2.0,-4.0,0.8734373758968916,stable_primary,0.07668398607249183,0.048453080523350955,0.1542652230363981,1.5594794213886949,0.24844761928889647,1.5147487688641377,2.1314538061450063,3.602998252304053,4.166159839845714,5.963468249890702,-0.11656251642546467,138.0,3.0898090383901966,176,275,0
2025,2020-01-01,2024-12-31,2025-01-01,2025-12-31,22,4.0,-4.0,0.857981738155214,stable_primary,0.11410375938807582,0.063268153206259,0.1439620243878783,1.2898124266192574,0.1321944327989404,1.2104062577181824,1.31836825528535,1.5626190627273397,4.571182967537218,2.8919085877273862,-0.1002712499098577,101.0,2.7430071000732754,174,275,0
2026,2021-01-01,2025-12-31,2026-01-01,2026-07-21,22,4.0,-4.0,0.8257331087061786,stable_primary,0.14852365364307452,0.14852365364307452,0.13073321708871033,1.1705726393521672,-0.010187623516117017,-0.06181949095152768,-0.1586886006239621,-0.10574552779810521,3.111145075155123,-0.3274557524646792,-0.06419883643853042,73.0,2.5710063983412317,176,275,0
