risk_budget_pct_percent,risk_budget_pct,objective_eligible,objective_ineligible_reason,composite_score,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,avg_annual_trade_count,sqn_recent_100,sqn_applicable,sqn_reason,sqn_trade_count_used,sqn_trade_count_total,sqn_min_trades,sqn_recent_100_insufficient_100,sqn_recent_100_note,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,error
0.1,0.001,True,,0.9834275173599062,ok,35230,1.6382630516519094,0.06655372011322269,1.526558858797375,0.039806213010914415,73.5984555984556,3.0045373417820627,True,,100.0,1059.0,30.0,False,,-0.04431383207359785,372.0,2.83083642548831,1.5018723725514895,1.225631997214163,5.430155239459966,
0.15,0.0015,True,,0.8570172406128085,ok,63153,1.4408265983731834,0.08351302046150977,2.1701970755281557,0.05677609152560525,73.5984555984556,2.9529537179504297,True,,100.0,1059.0,30.0,False,,-0.06267750679133521,387.0,2.4670354915383044,1.332424098162356,1.9162590416921634,4.358127927618968,
0.2,0.002,True,,0.8120084503554106,ok,54001,1.3759232671250332,0.09528731199140705,2.703462565964291,0.06780812229943872,73.5984555984556,3.0857822135740083,True,,100.0,1059.0,30.0,False,,-0.08716770778952565,394.0,2.3338146422918804,1.0931492224332309,2.4835660997461293,3.8367133454248448,
0.25,0.0025,True,,0.7361509263534005,ok,48829,1.3254449843218743,0.10067915282252748,2.974536149114532,0.07445187996886857,73.5984555984556,2.982222979369688,True,,100.0,1059.0,30.0,False,,-0.10671586188089621,443.0,2.2343061460214964,0.9434319420565033,2.97084300862906,3.3889085532320804,
0.3,0.003,True,,0.6050870678898388,ok,48671,1.247040138328666,0.10204017692014467,3.045820868076638,0.08049793480864369,73.5984555984556,2.675437655628266,True,,100.0,1059.0,30.0,False,,-0.13097472459538462,505.0,2.0998694983020805,0.779082966086576,3.583842914787538,2.8472279434768124,
0.35,0.0034999999999999996,True,,0.5078196879467725,ok,53494,1.1903414211569419,0.1036813937707517,3.133362815666046,0.08596221397718243,73.5984555984556,2.413126519263999,True,,100.0,1059.0,30.0,False,,-0.1493955593866576,571.0,2.0115357724411336,0.694005860658877,4.051512106344868,2.559078957418923,
0.4,0.004,True,,0.40061515341668485,ok,57703,1.1512828602075103,0.10453447892226264,3.1795591569067243,0.08984343324502886,73.5984555984556,2.0651140312377043,True,,100.0,1059.0,30.0,False,,-0.16571141987789695,640.0,1.9472330428737252,0.6308224200799678,4.509730789696306,2.317976034425376,
0.45,0.0045000000000000005,True,,0.3723185861731262,ok,62770,1.1303965617862566,0.10657288826720546,3.2918958706111257,0.09342413846872437,73.5984555984556,2.005961718850801,True,,100.0,1059.0,30.0,False,,-0.17409525804786385,639.0,1.908851332869079,0.6121527344409661,4.74047381387621,2.2481484436270414,
0.5,0.005,True,,0.3391834243992285,ok,59511,1.126994268108445,0.1095408559195945,3.460492030361615,0.096325381396665,73.5984555984556,1.8767825752287877,True,,100.0,1059.0,30.0,False,,-0.18178383347406601,639.0,1.9167066699728472,0.6025885461108511,4.913918780969195,2.2291954914645387,
0.55,0.0055000000000000005,True,,0.2841951408932311,ok,57521,1.0700557163677582,0.10622427851318528,3.2724869791637516,0.09888550100337899,73.5984555984556,1.9046315169314474,True,,100.0,1059.0,30.0,False,,-0.21306022710761485,822.0,1.8158262425463543,0.49856456061849747,5.752856148804714,1.8464615795278625,
0.6,0.006,True,,0.19757355154119585,ok,61213,0.983241355616517,0.09927662947784066,2.9023018580188626,0.10147146284472212,73.5984555984556,1.7549123282700676,True,,100.0,1059.0,30.0,False,,-0.2231304991396139,846.0,1.6521154103987012,0.44492630931517235,6.41158102637273,1.548395459239874,
0.65,0.006500000000000001,True,,0.14446174843109075,ok,63460,0.9267775582184069,0.09510205451049791,2.6944619633986804,0.10380571532888848,73.5984555984556,1.701704970506119,True,,100.0,1059.0,30.0,False,,-0.2282608586594973,940.0,1.5502765889167598,0.41663759204710665,7.0490399094536595,1.3491490434456748,
0.7,0.006999999999999999,True,,0.1448034447775695,ok,59940,0.9138983696944115,0.0956321028335414,2.72026833036218,0.10605445954119326,73.5984555984556,1.6970715765245412,True,,100.0,1059.0,30.0,False,,-0.222370544875369,940.0,1.533512499308472,0.4300574200919456,6.9783374579949635,1.3704138472692706,
0.75,0.0075,True,,0.11139262870560608,ok,59875,0.8823335464567885,0.09420794293620927,2.6513076453779183,0.10869470232106991,73.5984555984556,1.6650219677789604,True,,100.0,1059.0,30.0,False,,-0.22959063999672946,941.0,1.4764871024071582,0.41033006806179584,7.431717200240947,1.26764703766116,
0.8,0.008,True,,0.1355508852552978,ok,61689,0.863149510069555,0.09380916759729274,2.6322123940751148,0.11097743819179655,73.5984555984556,1.8397179790440195,True,,100.0,1059.0,30.0,False,,-0.22377199767043776,969.0,1.4440031699725269,0.41921763479741125,7.641324256506354,1.2276558937728248,
0.85,0.0085,True,,0.0939136013884211,ok,73619,0.8272742615994336,0.09136600161282815,2.5172357981265665,0.11341708959233082,73.5984555984556,1.7631017595941252,True,,100.0,1059.0,30.0,False,,-0.22781179130841012,983.0,1.378698503414413,0.40105914223350037,8.045241381418036,1.135652707995247,
0.9,0.009000000000000001,True,,0.0677568648104843,ok,59393,0.7998681812155799,0.08987735933923058,2.4488495774358996,0.11596093895036604,73.5984555984556,1.7356234749893056,True,,100.0,1059.0,30.0,False,,-0.2292476205269034,987.0,1.3290325762915363,0.39205361928143984,8.395062327807727,1.0705978803935934,
0.95,0.0095,True,,0.015639476724526702,ok,68223,0.749527046616763,0.08465207359502203,2.2184764430739716,0.11759136598371286,73.5984555984556,1.6419945129995452,True,,100.0,1059.0,30.0,False,,-0.2344389184057375,988.0,1.23831841428227,0.36108370645404886,8.8490824507583,0.9566197859052379,
1.0,0.01,True,,0.0,ok,53851,0.7453288838600676,0.08542523590071749,2.2516361735953385,0.11951218315997761,73.5984555984556,1.615063428289718,True,,100.0,1059.0,30.0,False,,-0.2395280665763604,995.0,1.234705782793406,0.3566397755458204,9.115393941124056,0.9371535278944111,
