symbol,start,end,decision_day,hold_days,cumulative_return,annualized_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sharpe_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,objective_raw,objective_percentile,is_top_pct,local_neighbor_count,local_top_ratio,local_pct_mean,local_pct_std,local_stability,asset_robust_score
510300,20120528,20260618,-28,1,-0.2502002905154054,-0.0210242153662432,0.0554833311240907,-0.3233445537328409,4790.0,-0.3545876073267237,21.28108876707485,-0.098792949911336,0.4367088607594936,1.0564902140950885,-0.0964632706293238,-0.3545876073267237,0.033035714285714286,False,4,0.0,0.10513392857142856,0.12493042547172373,0.8750695745282763,0.1915317720485124
510300,20120528,20260618,-28,6,-0.1062589085887542,-0.00825547612409,0.1194154467459324,-0.3221988788051416,3817.0,-0.0097481475814228,18.125411539859893,-0.0455464203167762,0.5286624203821656,0.8921732956551923,0.0003596994722167,-0.0097481475814228,0.28660714285714284,False,6,0.0,0.3605654761904762,0.07267041143107943,0.9273295885689206,0.32876948914235554
510300,20120528,20260618,-28,3,0.0568522816357153,0.0040886656161103,0.0912837680485459,-0.2227648147370542,3772.0,0.0901305029610108,8.152310738991625,0.0501534564495275,0.4842767295597484,1.01368306792305,-0.0244851179641768,0.0901305029610108,0.38392857142857145,False,6,0.0,0.27455357142857145,0.10913786246284643,0.8908621375371536,0.3701367132217165
510300,20120528,20260618,-28,8,0.0169718141496137,0.0012426482563516,0.1372151497770714,-0.4971794401964216,3817.0,0.0774181959753682,26.650346137632138,0.0046627846780457,0.4968152866242038,0.9505923493106344,-0.0325227768903022,0.0774181959753682,0.37410714285714286,False,6,0.0,0.3802083333333333,0.07715239253421008,0.9228476074657899,0.3716230929217294
510300,20120528,20260618,-28,7,-0.1355211771765433,-0.0106886952991163,0.1267840503051607,-0.4705722856014824,3076.0,-0.0214547205024112,26.933062757814135,-0.0396861485647976,0.4935897435897436,0.9515065087990496,-0.0386296913034821,-0.0214547205024112,0.2714285714285714,False,6,0.0,0.37127976190476186,0.0824244923906825,0.9175755076093175,0.31922938723614924
510300,20120528,20260618,-28,4,-0.1366872231819849,-0.0107872269060079,0.1030949280508747,-0.3887831549753611,3877.0,-0.0537131125815508,22.188730652305193,-0.048615790939295,0.5256410256410257,0.8920348984329305,-0.0061307415760391,-0.0537131125815508,0.23660714285714285,False,6,0.0,0.3427083333333334,0.06313961966714733,0.9368603803328527,0.305675647495142
510300,20120528,20260618,-28,5,0.0160726721375896,0.0011772981299149,0.1122961861241222,-0.2559124529550995,3817.0,0.0665446600351308,15.13633775069749,0.0077779589046281,0.5379746835443038,0.9112184128406868,0.0309334408027849,0.0665446600351308,0.36428571428571427,False,6,0.0,0.3361607142857143,0.05978977040772246,0.9402102295922775,0.3701849030613127
510300,20120528,20260618,-28,2,-0.2859105579886375,-0.0245430687007838,0.072377141532723,-0.3392937922003043,4853.0,-0.3069023028696621,21.747941007593013,-0.1128523784951178,0.45625,0.8462057167497307,-0.1863242455257089,-0.3069023028696621,0.05714285714285714,False,6,0.0,0.18110119047619047,0.1510314035922058,0.8489685964077942,0.19836514785298742
510300,20120528,20260618,-28,9,-0.1058695300529912,-0.0082235987662763,0.1470525020255433,-0.4996337678677525,3817.0,0.0173693900576644,24.616155138895422,-0.0334073242546412,0.5225806451612903,0.8866668766643037,-0.0158621087112702,0.0173693900576644,0.31160714285714286,False,6,0.0,0.34330357142857143,0.08057798687319889,0.9194220131268012,0.3396879740539317
510300,20120528,20260618,-28,11,-0.2805831579876363,-0.0240079073544015,0.1490426317195964,-0.5123169085196881,3072.0,-0.0883868096883231,25.69556896899015,-0.0934320908923038,0.4679487179487179,1.0311447274090575,-0.0480324706358947,-0.0883868096883231,0.20714285714285716,False,6,0.0,0.2297619047619048,0.07169901678500556,0.9283009832149944,0.28923162521442747
