top_k,rebalance_anchor,risk_budget_pct_percent,risk_budget_pct,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
1,1,0.1,0.001,ok,,2.1059739340769523,0.038339777629160965,0.6926157026057331,0.017937589898447168,-0.02042211928389015,305,3.51634326592197,1.8773652771387461,0.4911811520209499,7.805628833967492,,,,
1,1,0.2,0.002,ok,,1.3492079988610572,0.04777005613116825,0.920801545833251,0.03503489331740556,-0.04972277293683258,318,2.191863187054653,0.960727918208724,1.241928656415622,3.846441249615678,,,,
1,1,0.3,0.003,ok,,1.0856825732845403,0.05701175681136683,1.1718547924299147,0.052323553062075576,-0.08127053513557947,462,1.7491064773070957,0.7015058620723617,2.1078309536636244,2.704759445356593,,,,
1,1,0.4,0.004,ok,,0.951700285047807,0.06595256981417563,1.4434312288776194,0.06965327448202237,-0.11300775651729789,547,1.5267852279696332,0.5836110002243996,3.0589586478912985,2.156046465670277,,,,
1,1,0.5,0.005,ok,,0.8674446479746324,0.07425843101405394,1.7236572156261944,0.0869315199592894,-0.1440621367920114,582,1.3875735893964716,0.5154611243984529,4.042007655910326,1.837167005497166,,,,
1,1,0.6,0.006,ok,,0.8150356336814983,0.08226675458273913,2.0218416869224964,0.1035855969042993,-0.17475466556049646,614,1.307104236985387,0.4707556981032937,5.006591265729124,1.6431689789791217,,,,
1,1,0.7,0.006999999999999999,ok,,0.7807388578071986,0.09006456055132728,2.3410673134171067,0.11962618035837501,-0.20420649066458485,748,1.2594702929740542,0.4410465125678153,5.9689243814345705,1.5088909625234885,,,,
1,1,0.8,0.008,ok,,0.7570898128926408,0.09780626043526874,2.6887344733080125,0.1353634055075855,-0.23216599337147048,748,1.2263876115274452,0.42127728964498545,6.8711548509986535,1.4234326333229643,,,,
1,1,0.9,0.009000000000000001,ok,,0.7392370989125157,0.10531159156672332,3.057592867974252,0.15085140326874152,-0.25941182150011166,749,1.200818492022113,0.40596296251162933,7.814813617858944,1.3475892928023017,,,,
1,1,1.0,0.01,ok,,0.7207370897325223,0.11143291897725782,3.383483254657258,0.16563676448337178,-0.2861354500758996,751,1.1728955385985917,0.389441150852505,8.837360442193699,1.2609298863179197,,,,
1,1,1.1,0.011000000000000001,ok,,0.6958602933140331,0.11484664330607375,3.5756178242054304,0.17937551353462008,-0.31649068168799954,1082,1.1332643386967969,0.36287527548533327,10.033827611228412,1.1445945431387912,,,,
1,1,1.2,0.012,ok,,0.6711455178021459,0.11706763745638304,3.7047895977084684,0.1926227525522797,-0.348592786654221,1088,1.092983070053862,0.33582920226202423,11.31399673461716,1.0347151426886492,,,,
1,1,1.3,0.013000000000000001,ok,,0.6456269146261348,0.11793452836988072,3.756119889261287,0.20537404506765908,-0.38139774678596794,1101,1.05068123006978,0.309216636342802,12.674172948595753,0.9305106443489664,,,,
1,1,1.4,0.013999999999999999,ok,,0.6276906619269645,0.11951232079524488,3.850880866658713,0.21762414310951772,-0.413286168251764,1214,1.0211455735013297,0.28917570917215124,13.964953619703971,0.8558017738534981,,,,
1,1,1.5,0.015,ok,,0.6180355114537796,0.12221921943655123,4.017549536027035,0.2290796610023958,-0.44351201132950524,1214,1.0054967425989518,0.2755713854742685,15.240400970391056,0.8019422827128885,,,,
1,1,1.6,0.016,ok,,0.6089208130552816,0.12428306750265516,4.14817991957761,0.2395810962845459,-0.46701084157027173,1233,0.9897411060864816,0.2661245873538337,16.29619304156553,0.7626509282607004,,,,
1,1,1.7,0.017,ok,,0.6029382574243803,0.12653091316212484,4.294044682320118,0.24918032516388375,-0.48775890266102606,2467,0.9788616605919985,0.25941282152272477,17.312664703788368,0.7308575272900495,,,,
1,1,1.8,0.018000000000000002,ok,,0.5993646570244044,0.1290882267186404,4.464653028890172,0.25835035938835904,-0.5068915621868821,2470,0.9722360415289474,0.25466635538716625,18.277882033200996,0.7062537469284303,,,,
1,1,1.9,0.019,ok,,0.5978046668075109,0.13184452151772685,4.6542434579245375,0.26685996200007644,-0.5193732037052435,2470,0.9691251250179628,0.253853145632349,18.92117114495917,0.69680951833075,,,,
1,1,2.0,0.02,ok,,0.5944810307867577,0.13382114471596784,4.793945249696192,0.27503594030863926,-0.5309061145952083,2470,0.9626485509418585,0.2520617883973711,19.609943605989297,0.6824147351198705,,,,
1,1,2.1,0.021,ok,,0.5930723974415694,0.13606127640636712,4.9561421007050175,0.2825921462108483,-0.5375629857649838,2470,0.9594012445769935,0.2531075985686475,20.262364768432025,0.6714975174977862,,,,
1,1,2.2,0.022000000000000002,ok,,0.591770137863927,0.13800741224430713,5.100464117879177,0.28944192825220705,-0.5430161027984626,3006,0.9561823443714421,0.25414976007723994,20.847235594796143,0.6619938246333069,,,,
1,1,2.3,0.023,ok,,0.5917034913033802,0.1401601613545449,5.263886860634824,0.29587424716638083,-0.5467565126242983,3027,0.9552405510530874,0.2563484075970311,21.275194063828383,0.6587961591985763,,,,
1,1,2.4,0.024,ok,,0.5914143846290484,0.14208622658955283,5.41353729964968,0.30199638904443643,-0.5501837965531193,3038,0.9536503210313076,0.25825229219711243,21.76243964266172,0.6528965912030189,,,,
1,1,2.5,0.025,ok,,0.5933887463845812,0.14455222837327142,5.609986469309477,0.3074616748174934,-0.551930146697228,3075,0.9560656460394774,0.26190312168718766,22.204105709488854,0.651015763771551,,,,
1,1,2.6,0.026000000000000002,ok,,0.5949119261671386,0.1466371575180594,5.780421700100101,0.31226389027558055,-0.5534134354694402,3075,0.9577358328215629,0.26496855356189986,22.581754948368822,0.6493612115326388,,,,
1,1,2.7,0.027000000000000003,ok,,0.593046677637143,0.14726691253494661,5.8326986843021835,0.3163713732538492,-0.5540433371731058,3075,0.9540108570765108,0.2658039591024527,22.885999523873412,0.6434803617876768,,,,
1,1,2.8,0.027999999999999997,ok,,0.5929761692306337,0.14835085960571015,5.9235562319316255,0.319888851371315,-0.5547174339713001,3075,0.9542803420132083,0.2674350047800832,23.14130432328098,0.6410652465101713,,,,
1,1,2.9,0.028999999999999998,ok,,0.5912657871169271,0.14873363110926618,5.9559076347437525,0.32315285809200184,-0.5561261284807019,3110,0.9516972421892625,0.26744586073593807,23.478258450329342,0.6334951607417023,,,,
1,1,3.0,0.03,ok,,0.5899300411735163,0.14916569815195335,5.99259405066737,0.32619061839118313,-0.5580653128712265,3115,0.9498622358739531,0.26729075380890643,23.80235707215593,0.6266845661535253,,,,
1,2,0.1,0.001,ok,,2.2552146550978454,0.041350041587445485,0.7625638435566868,0.018034800958046646,-0.019469721656326544,197,3.8574789601920836,2.123812672689601,0.41133549188433627,10.052631587422738,,,,
1,2,0.2,0.002,ok,,1.508071824224333,0.05385222393644429,1.082786921014876,0.0351852337288476,-0.04403757723411639,362,2.5121292033645264,1.2228698152523338,1.0710045362586942,5.028197557833372,,,,
1,2,0.3,0.003,ok,,1.2467126665635848,0.06620962532227814,1.4516864361483979,0.05252184744265142,-0.06806264998967637,403,2.0597707859662675,0.9727747205305803,1.8203933617987516,3.637105403244036,,,,
1,2,0.4,0.004,ok,,1.1154705167800463,0.07846359845439,1.8766454027438515,0.06990040317220829,-0.09155528220412967,440,1.8354581999177775,0.8570078816364659,2.5995872489150758,3.0183098677352094,,,,
1,2,0.5,0.005,ok,,1.030833998658954,0.08993811497265214,2.335650197744508,0.08722948479032477,-0.11452565295488015,448,1.6912141607291467,0.785309776911599,3.3984388209466307,2.6464538486998563,,,,
1,2,0.6,0.006,ok,,0.9666748231223541,0.10020067690156731,2.802883281627025,0.10442213739594403,-0.1369837800591066,467,1.5815871143378277,0.7314784046573405,4.21017772280698,2.379963115541883,,,,
