mom_lookback,tsmom_entry_threshold_pct,tsmom_entry_threshold,tsmom_exit_threshold_pct,tsmom_exit_threshold,objective_eligible,objective_ineligible_reason,composite_score,status,elapsed_ms,attempts,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,avg_annual_trade_count,sqn_recent_100,sqn_applicable,sqn_reason,sqn_trade_count_used,sqn_trade_count_total,sqn_min_trades,sqn_recent_100_insufficient_100,sqn_recent_100_note,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,error
15,0.0,0.0,-5.0,-0.05,False,avg_annual_trade_count_lt_min:46.2395<50,,ok,141388,1,1.0306121334192604,0.0781292280104362,1.0754600909694836,0.07576286306543382,46.23947691050265,3.4706866046812284,True,,100.0,449.0,30.0,False,,-0.12922703572567928,332.0,1.5983488993292156,0.6045888739279561,3.448573162245864,2.2655522830652366,
15,0.0,0.0,-4.0,-0.04,True,,0.27592189695244435,ok,140617,1,0.8894021396827604,0.0685700391274513,0.9035834031831798,0.07796876662791898,56.94973436861463,3.6164585816995833,True,,100.0,553.0,30.0,False,,-0.14119875237341561,442.0,1.3875000419810588,0.48562779751842494,3.860685230047545,1.7761105876690921,
15,0.0,0.0,-3.0,-0.03,True,,0.4047721200991359,ok,137501,1,1.0881494731655184,0.08557420966488172,1.2188284485076553,0.07825416781114589,67.86595831630568,2.8655905517950115,True,,100.0,659.0,30.0,False,,-0.09843586970164464,412.0,1.7418909574039991,0.8693397023285706,3.2103383094896163,2.6655822974148298,
15,0.0,0.0,-2.0,-0.02,True,,0.4408966086716196,ok,140279,1,1.1795356744746441,0.09233122854402143,1.356571998953605,0.07739622667456944,82.28361258684103,2.8570972059588717,True,,100.0,799.0,30.0,False,,-0.10532234680174879,476.0,1.8868765236716063,0.8766537334932262,3.2169747137201568,2.870126027109745,
15,0.0,0.0,-1.0,-1.0,False,avg_annual_trade_count_lt_min:2.98651<50,,ok,142630,1,1.8345367025234618,0.03280881930180124,0.3679883910467896,0.01767648268887952,2.986514098896608,,False,trades_lt_30,29.0,29.0,30.0,True,trades_lt_100,-0.05131841908452095,711.0,2.374923188563638,0.6393185894476879,1.3443247210142877,2.44054273412804,
15,0.0,0.0,0.0,0.0,True,,0.20000866373319892,ok,141124,1,1.1630727869390227,0.09064199113225668,1.3214360987947487,0.07714472488224337,125.43359215365754,1.3596152290532262,True,,100.0,1218.0,30.0,False,,-0.12235312032047063,548.0,1.8572564682197992,0.7408228813032697,3.7880636584164455,2.3928317817696994,
15,1.0,1.0,-5.0,-0.05,False,avg_annual_trade_count_lt_min:0<50,,ok,135557,1,6.456138620589109,0.03430616517575724,0.38736077052619056,0.00522494031073009,0.0,,False,trades_lt_30,0.0,0.0,30.0,True,trades_lt_100,-0.005912516404865342,57.0,13.023348982127963,5.802295135710252,0.047890597325526994,71.63444828755794,
15,1.0,1.0,-4.0,-0.04,False,avg_annual_trade_count_lt_min:0<50,,ok,136104,1,6.456138620589109,0.03430616517575724,0.38736077052619056,0.00522494031073009,0.0,,False,trades_lt_30,0.0,0.0,30.0,True,trades_lt_100,-0.005912516404865342,57.0,13.023348982127963,5.802295135710252,0.047890597325526994,71.63444828755794,
15,1.0,1.0,-3.0,-0.03,False,avg_annual_trade_count_lt_min:0<50,,ok,123611,1,6.456138620589109,0.03430616517575724,0.38736077052619056,0.00522494031073009,0.0,,False,trades_lt_30,0.0,0.0,30.0,True,trades_lt_100,-0.005912516404865342,57.0,13.023348982127963,5.802295135710252,0.047890597325526994,71.63444828755794,
15,1.0,1.0,-2.0,-0.02,False,avg_annual_trade_count_lt_min:0<50,,ok,125835,1,6.456138620589109,0.03430616517575724,0.38736077052619056,0.00522494031073009,0.0,,False,trades_lt_30,0.0,0.0,30.0,True,trades_lt_100,-0.005912516404865342,57.0,13.023348982127963,5.802295135710252,0.047890597325526994,71.63444828755794,
15,1.0,1.0,-1.0,-1.0,False,avg_annual_trade_count_lt_min:0<50,,ok,127379,1,6.456138620589109,0.03430616517575724,0.38736077052619056,0.00522494031073009,0.0,,False,trades_lt_30,0.0,0.0,30.0,True,trades_lt_100,-0.005912516404865342,57.0,13.023348982127963,5.802295135710252,0.047890597325526994,71.63444828755794,
15,1.0,1.0,0.0,0.0,False,avg_annual_trade_count_lt_min:0<50,,ok,135170,1,6.456138620589109,0.03430616517575724,0.38736077052619056,0.00522494031073009,0.0,,False,trades_lt_30,0.0,0.0,30.0,True,trades_lt_100,-0.005912516404865342,57.0,13.023348982127963,5.802295135710252,0.047890597325526994,71.63444828755794,
15,2.0,0.02,-5.0,-0.05,False,avg_annual_trade_count_lt_min:42.6351<50,,ok,132264,1,1.2248943188960464,0.08791717785843245,1.2657497775750333,0.0708236390896225,42.63506334286882,3.6596714647889312,True,,100.0,414.0,30.0,False,,-0.10024649218257142,437.0,1.9870852824238698,0.8770100174509396,2.7811052470653967,3.1612315985237185,
15,2.0,0.02,-4.0,-0.04,True,,0.528527663403993,ok,143834,1,1.2640389179971436,0.09486063525784783,1.4100755605223871,0.07383606818667822,50.873722926031874,3.2253693935661114,True,,100.0,494.0,30.0,False,,-0.1019039873486779,411.0,2.0431368023409027,0.93088246815377,3.1152467676430855,3.0450440152327616,
15,2.0,0.02,-3.0,-0.03,True,,0.6350954426905034,ok,149801,1,1.3257356201297226,0.103718147023389,1.6061324994033592,0.07663663666241713,58.80343277482632,3.486409907616561,True,,100.0,571.0,30.0,False,,-0.0945287658710654,413.0,2.1519541464332543,1.0972125370266408,2.868267918469194,3.616055053836944,
15,2.0,0.02,-2.0,-0.02,True,,0.8191887926651656,ok,153223,1,1.489350359466452,0.12037627914381055,2.0140003799975696,0.07836692606280676,67.6599918267266,3.802720122908572,True,,100.0,657.0,30.0,False,,-0.08105798732446767,447.0,2.4056805840977566,1.4850637564186657,2.575598519375013,4.673720622149632,
15,2.0,0.02,-1.0,-1.0,False,avg_annual_trade_count_lt_min:2.98651<50,,ok,145978,1,2.6675589364342773,0.041647690738638055,0.48595210209191775,0.015335313045593539,2.986514098896608,,False,trades_lt_30,29.0,29.0,30.0,True,trades_lt_100,-0.019858214263037577,307.0,4.490031340515712,2.097252561936427,0.37665921642589917,11.057127749011679,
15,2.0,0.02,0.0,0.0,True,,0.3809374722712212,ok,153988,1,1.2560294655435214,0.10118695306030911,1.5486960116269568,0.07922863432720383,89.4924397221087,2.821046676350234,True,,100.0,869.0,30.0,False,,-0.13049856650647396,636.0,1.9496741283425416,0.7753874679940587,3.7832559997771167,2.6745996851989493,
