er_threshold,objective_eligible,objective_ineligible_reason,composite_score,kelly_std_objective_eligible,kelly_std_objective_ineligible_reason,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,avg_annual_trade_count,sqn_recent_100,sqn_applicable,sqn_reason,sqn_trade_count_used,sqn_trade_count_total,sqn_min_trades,sqn_recent_100_insufficient_100,sqn_recent_100_note,sqn_recent_100_roll_points,kelly_overall,kelly_by_code_std,kelly_by_code_mean,kelly_by_code_min,kelly_by_code_max,kelly_by_code_valid_count,kelly_by_code_required_count,kelly_by_code_complete,kelly_by_code_missing_count,kelly_by_code_missing_codes,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,error
0.0,True,,0.287195620915028,True,,,,1.1998874979620255,0.09693458314556591,2.4575824822454493,0.07971707654155646,38.694674556213016,2.1145863554261695,True,,100.0,519.0,30.0,False,rolling_100_median,420.0,0.28349070985039826,0.08908470381127469,0.2796591358840635,0.11400016693824327,0.4256913423661015,13.0,13.0,True,0.0,[],-0.09993501173312824,591.0,2.2193346033040915,0.9699762021785234,3.0069996344045786,3.223631357865466,
0.05,True,,0.0886752131325375,True,,,,1.0519713852417492,0.0884796257901952,2.11683293873647,0.08389547844315287,48.46153846153847,1.9400662772670583,True,,100.0,650.0,30.0,False,rolling_100_median,551.0,0.25708599895676176,0.06932586414191746,0.26640571464123763,0.1373638930871468,0.3897848938635865,13.0,13.0,True,0.0,[],-0.13462524456482028,589.0,1.906316219117942,0.6572290811891036,3.6344817530145908,2.4344495805160253,
0.1,True,,0.14724884233795824,True,,,,1.1013918508693095,0.09221756209826393,2.263451234743399,0.08319026491466257,46.97041420118343,1.9629112850159487,True,,100.0,630.0,30.0,False,rolling_100_median,531.0,0.25705290176293055,0.07099201879509272,0.26730422797500847,0.14311732430269636,0.38771716547352275,13.0,13.0,True,0.0,[],-0.12029999239494371,589.0,2.0028311871087885,0.7665633244224536,3.447718655504572,2.674741512072943,
0.15,True,,0.2614869821196099,True,,,,1.1780855777209416,0.09860675312598977,2.5289288403022097,0.08268856668317247,45.10650887573964,2.1296155374217527,True,,100.0,605.0,30.0,False,rolling_100_median,506.0,0.2693966434338155,0.07536355724005357,0.27416259925305014,0.15068808880778908,0.39618302269441164,13.0,13.0,True,0.0,[],-0.1072349739290569,589.0,2.190798413565969,0.9195391159532031,3.1486602538408786,3.131705080143365,
0.2,True,,0.30066508034904227,True,,,,1.2076142534641787,0.100343690956886,2.6044793520604967,0.0819229653230732,43.39171597633136,2.147777416811293,True,,100.0,582.0,30.0,False,rolling_100_median,483.0,0.27044520988879617,0.06337347177267005,0.275932851579281,0.1814426828937383,0.398016453921363,13.0,13.0,True,0.0,[],-0.10705615459972939,532.0,2.2629566209480036,0.9372996006820857,2.981953254534714,3.3650323258519026,
0.25,True,,0.3554720454070411,True,,,,1.2346925635819832,0.10251370537453375,2.7009701085389977,0.0817094309699107,40.856804733727806,2.2312540248801636,True,,100.0,548.0,30.0,False,rolling_100_median,449.0,0.28566446114065436,0.05931638661661407,0.286515851876768,0.21428674002204567,0.3755319879883177,13.0,13.0,True,0.0,[],-0.09998748339366859,518.0,2.2797760036299457,1.0252653821770767,2.791682811492158,3.6721114932014802,
0.3,True,,0.287195620915028,True,,,,1.1998874979620255,0.09693458314556591,2.4575824822454493,0.07971707654155646,38.694674556213016,2.1145863554261695,True,,100.0,519.0,30.0,False,rolling_100_median,420.0,0.28349070985039826,0.08908470381127469,0.2796591358840635,0.11400016693824327,0.4256913423661015,13.0,13.0,True,0.0,[],-0.09993501173312824,591.0,2.2193346033040915,0.9699762021785234,3.0069996344045786,3.223631357865466,
0.35,True,,0.19778639617584143,True,,,,1.0690817524319456,0.08420344180649408,1.9565892693902809,0.07845747071504443,36.23431952662722,2.221067297503262,True,,100.0,486.0,30.0,False,rolling_100_median,387.0,0.29000493216156314,0.10190043090567451,0.28681816442540514,0.09033792658257672,0.4394151850007446,13.0,13.0,True,0.0,[],-0.12094085667459276,589.0,1.9833462776608324,0.6962365252054936,3.0820074366286465,2.7320972949566515,
0.4,True,,0.14455835342225723,True,,,,1.0083622400004975,0.07772423429029973,1.7282633573616812,0.0771362946888573,33.62485207100592,2.3026449287139843,True,,100.0,451.0,30.0,False,rolling_100_median,352.0,0.29293938661507274,0.127840932058061,0.29176580079181913,0.06413976078403205,0.4877160275222251,13.0,13.0,True,0.0,[],-0.1271491873073205,723.0,1.8527893589759896,0.6112837678029329,3.29095274856084,2.361754793480069,
0.45,True,,0.08069505353902694,True,,,,0.9890955205515938,0.07428872514066964,1.6139262452721277,0.0752678300603976,30.79171597633136,2.467876843629515,True,,100.0,413.0,30.0,False,rolling_100_median,314.0,0.28089147553458516,0.11741148046465887,0.2647159913510384,0.039525184705822614,0.4160059450148996,13.0,13.0,True,0.0,[],-0.15732323033521511,590.0,1.8454303959632479,0.4722044225914989,3.9151996837151257,1.8974440933285222,
