top_k,rebalance_anchor,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
1,1,ok,33330,0.4152866060188734,0.08055160124373595,2.043129536765302,0.28389439662000054,-0.6763865065751855,1101,0.6452106532497756,0.11909108248122928,22.653513557609678,0.35558104944244895,0.6666666666666666,1.0294268899634107,0.3428619005553198,
1,2,ok,30802,0.40012206789074595,0.07594382962545487,1.8619373119682687,0.2839890509653554,-0.6763865065751857,1103,0.6248915124826243,0.11227874726535976,22.388433725716347,0.3392101053421277,0.6031746031746031,1.273925022995703,0.29167636767229654,
1,3,ok,32166,0.4182032799954078,0.08176679948336418,2.0926627817215273,0.28604420439854106,-0.6763865065751857,1209,0.6516542608985985,0.12088768579577681,21.23097008694282,0.38512983226165104,0.65,1.093566183759786,0.32994621158029397,
1,4,ok,32807,0.4122263784830187,0.0800591473993788,2.023267384459257,0.2870444951563952,-0.6763865065751857,1088,0.6420198350864634,0.11836301673838846,21.70547010458447,0.3688431856745148,0.6666666666666666,1.0002608333834908,0.33342025512239254,
1,5,ok,30802,0.43222868314333596,0.08631034786880765,2.2845877152829006,0.2873239272135706,-0.6763865065751853,1100,0.6726751970157064,0.12760507051778927,22.314318901402824,0.38679355731257214,0.6206896551724138,1.2889434717651902,0.3264096086563894,
1,6,ok,30094,0.3514328718986824,0.06148921026171217,1.3565649912191664,0.2889300798430218,-0.6763865065751856,1211,0.5466396710194121,0.0909083928552279,24.909050773342486,0.24685489150601253,0.5961538461538461,1.2995496347517692,0.28539530100347665,
1,7,ok,32737,0.4166630454138651,0.08115247246585522,2.067528923295292,0.2849326514837923,-0.6763865065751855,1209,0.6517792467796379,0.11997943731426952,23.374189934902184,0.34718838467500807,0.66,1.1149741570203513,0.35506019681333834,
1,8,ok,33240,0.4100532462053306,0.07937930037542995,1.9960452387530783,0.2867257688508913,-0.6763865065751855,1210,0.6435280467159512,0.11735790055505245,23.87826459514665,0.3324332891074676,0.6730769230769231,1.0207202405934315,0.35279026281337367,
1,9,ok,29668,0.3665783797982233,0.066300794176116,1.5147485850032774,0.29110360604649904,-0.6763865065751854,2309,0.5679119764006997,0.09802205326629498,25.868517300678022,0.25629916630118665,0.7142857142857143,0.8422793271191509,0.3750701161877357,
1,10,ok,30471,0.31125748484192894,0.049284224232426066,0.9958673005131584,0.29228711580976424,-0.6763865065751856,1211,0.4816652056406017,0.07286399677304582,23.345221494481134,0.21111054458865158,0.62,1.052494956784862,0.25895313934727493,
1,11,ok,29976,0.390614130398109,0.0749602731450063,1.8245842028554216,0.3022644197059011,-0.6763865065751855,2322,0.6100866169681276,0.11082461346628579,24.658722113325165,0.3039909075600435,0.7142857142857143,0.8999499982261153,0.39680775853544487,
1,12,ok,33145,0.27677944307185887,0.038714377657946164,0.7257123393471645,0.2940303873289444,-0.6763865065751856,2322,0.4268947055684919,0.05723706384086886,24.691646375822824,0.15679139847010728,0.6122448979591837,1.0179917344328406,0.23134288380201723,
1,13,ok,30036,0.288321700868337,0.04224010168256309,0.8117929900717846,0.2915882093560333,-0.6763865065751854,2309,0.44259319837382843,0.062449651600002445,24.845293047694312,0.17001249130560386,0.6226415094339622,0.9763224878667727,0.23613142157298134,
1,14,ok,29573,0.256035086552044,0.0325402807591304,0.5840730403367009,0.28978326225944306,-0.6763865065751855,1211,0.3926048198501179,0.04810900342157151,25.320517448093234,0.12851349039701737,0.6111111111111112,0.9680447754639181,0.2093849732860082,
1,15,ok,31063,0.21449267845427025,0.019953040486131002,0.32817384169999886,0.29259600765126265,-0.6763865065751854,2467,0.32831682906923143,0.029499465604601136,26.734286829577922,0.07463464656201572,0.5471698113207547,1.1514149215091656,0.15388831025620503,
1,16,ok,33187,0.18312195971539966,0.011694214156172889,0.181770408169448,0.2825201923725821,-0.6763865065751855,3881,0.27943390805202345,0.01728924814805274,27.66223400220034,0.04227501710542502,0.5384615384615384,1.1357157803696476,0.13207600652128298,
1,17,ok,32367,0.33085220121772924,0.05566803223289685,1.1775721002740664,0.300834294373924,-0.6763865065751854,1210,0.5149557237672755,0.08230210344491685,25.294580616087845,0.22007888993222086,0.5283018867924528,1.7309619103614922,0.2557955361997709,
1,18,ok,31886,0.35871123863399856,0.06408765944079886,1.4408022021106461,0.294074637503984,-0.6763865065751854,1211,0.5563264827146569,0.09475005609632906,23.59891282470306,0.2715703893516343,0.5957446808510638,1.4812402337939568,0.3228278980591856,
1,19,ok,31568,0.2704105457523729,0.036844374649853684,0.6816157373430178,0.2923366649709985,-0.6763865065751853,2324,0.41817899287450916,0.054472367931186934,27.687117795145493,0.133074070484555,0.5416666666666666,1.3983504128886362,0.2138995139495352,
1,20,ok,32966,0.23816658867747748,0.02718757555930007,0.4701095338877561,0.2906803871995625,-0.6763865065751854,3294,0.3671554685862316,0.04019532515064738,27.970378512047443,0.0972013144104925,0.56,1.1702159117694617,0.18400101077528158,
1,21,ok,31905,0.28499998511382196,0.04127629617977879,0.7878732540435074,0.29168791422083823,-0.6763865065751856,2323,0.44114253930161473,0.06102471852783865,25.489547994496068,0.16193420216275134,0.6041666666666666,1.1077302414417294,0.24682936691203533,
1,22,ok,32005,0.27329774922168704,0.03761006034649128,0.6995430910005174,0.29571131199280165,-0.6763865065751857,2307,0.4210477906649235,0.055604391839402585,25.739857445755984,0.1461160397867412,0.625,0.955210927327621,0.23241655139024453,
1,23,ok,32634,0.2536344943693977,0.031528942791498205,0.5619302615931556,0.2965373063022769,-0.6763865065751855,2307,0.3892845911829665,0.046613796231893816,26.626605796631804,0.11841142289148449,0.6037735849056604,0.9675103623543113,0.19424162482393686,
1,24,ok,32572,0.34188209587208895,0.05881995506877291,1.2728547896238203,0.2948375655716356,-0.6763865065751855,2296,0.5271889470598877,0.08696204684301256,24.098625824400557,0.244080120988542,0.62,1.0940491679127715,0.2726664329675745,
1,25,ok,30554,0.2415464607479299,0.028136817636171152,0.48974624919970555,0.29161135429862034,-0.6763865065751857,2323,0.3710089252437361,0.041598727003941974,31.75922436251995,0.08859415870803283,0.6111111111111112,0.9025786763733267,0.18024685620594016,
1,26,ok,30660,0.2612783074006338,0.0340628956312381,0.6179614251308954,0.2921332191085993,-0.6763865065751856,2309,0.40297846276646443,0.050360105206285255,29.01719341574801,0.11738866382836226,0.6521739130434783,0.8081191141729674,0.22175953370722357,
1,27,ok,32774,0.32338300963575883,0.052973219823877704,1.099068766237377,0.29115462816124443,-0.6763865065751855,2303,0.4999817561670897,0.07831797250377188,27.575112244304325,0.19210518294379525,0.68,0.8118548222281036,0.28584085819460614,
1,28,ok,32943,0.3761021754868293,0.06915539564413042,1.6132072647311682,0.2899247874691326,-0.6763865065751855,2303,0.5826010382731737,0.10224242348401029,25.294664098676687,0.27339914605843035,0.6470588235294118,1.056352792575011,0.3129458463579844,
2,1,ok,32203,0.39542348107840336,0.06770102877615747,1.5626048327481055,0.23731070108251884,-0.5111855102527971,2303,0.5964422913449794,0.13243925623532873,22.769824194743915,0.2973278502158364,0.6233766233766234,1.3135734063625668,0.3366599657470438,
2,2,ok,32487,0.36508113208616066,0.060107502456920425,1.312881812818858,0.23785746944257694,-0.512486681098962,2455,0.5496299291334442,0.11728597966297893,22.844616534590266,0.26311451700626454,0.6164383561643836,1.324105629759863,0.3267623399804041,
