date,open,high,low,close,volume,factor
2013-03-25,99.5,99.5,98.814,99.408,46249.0,1.0
2013-03-26,99.4,99.7,99.4,99.649,29732.0,1.0
2013-03-27,99.648,99.697,99.591,99.625,37401.0,1.0
2013-03-28,99.63,99.74,99.604,99.731,47058.0,1.0
2013-03-29,99.73,99.836,99.72,99.833,23639.0,1.0
2013-04-01,99.833,99.95,99.833,99.945,33907.0,1.0
2013-04-02,99.952,100.142,99.952,100.122,60450.0,1.0
2013-04-03,100.229,100.429,100.228,100.365,52189.0,1.0
2013-04-08,100.37,100.4,100.11,100.291,49017.0,1.0
2013-04-09,100.3,100.315,100.229,100.267,52027.0,1.0
2013-04-10,100.28,100.302,100.272,100.296,55964.0,1.0
2013-04-11,100.3,100.31,100.291,100.302,62331.0,1.0
2013-04-12,100.304,100.384,100.304,100.352,32171.0,1.0
2013-04-15,100.39,100.468,100.39,100.425,38670.0,1.0
2013-04-16,100.5,100.596,100.47,100.516,58425.0,1.0
2013-04-17,100.57,100.68,100.543,100.601,69382.0,1.0
2013-04-18,100.601,100.615,100.102,100.359,51255.0,1.0
2013-04-19,100.216,100.29,100.0,100.11,47576.0,1.0
2013-04-22,100.065,100.09,99.831,99.859,45338.0,1.0
2013-04-23,99.8,100.155,99.8,100.145,50416.0,1.0
2013-04-24,100.14,100.298,100.0,100.154,44135.0,1.0
2013-04-25,100.154,100.298,100.105,100.289,70460.0,1.0
2013-04-26,100.291,100.5,100.291,100.357,62735.0,1.0
2013-05-02,100.4,100.558,100.4,100.497,57509.0,1.0
2013-05-03,100.591,100.607,100.48,100.503,60392.0,1.0
2013-05-06,100.5,100.565,100.41,100.481,53761.0,1.0
2013-05-07,100.508,100.55,100.452,100.53,57145.0,1.0
2013-05-08,100.59,100.59,100.5,100.52,74556.0,1.0
2013-05-09,100.53,100.535,100.499,100.519,70533.0,1.0
2013-05-10,100.514,100.58,100.504,100.552,84503.0,1.0
2013-05-13,100.55,100.551,100.479,100.521,54418.0,1.0
2013-05-14,100.533,100.533,100.5,100.513,58989.0,1.0
2013-05-15,100.512,100.516,100.465,100.474,71362.0,1.0
2013-05-16,100.474,100.489,100.35,100.351,90091.0,1.0
2013-05-17,100.4,100.509,100.371,100.456,70865.0,1.0
2013-05-20,100.45,100.47,100.32,100.428,73534.0,1.0
2013-05-21,100.409,100.435,100.3,100.35,94073.0,1.0
2013-05-22,100.355,100.389,100.335,100.371,86697.0,1.0
2013-05-23,100.381,100.415,100.32,100.364,97745.0,1.0
2013-05-24,100.371,100.403,100.369,100.38,72952.0,1.0
2013-05-27,100.389,100.5,100.389,100.484,92681.0,1.0
2013-05-28,100.49,100.58,100.462,100.49,86571.0,1.0
2013-05-29,100.501,100.51,100.452,100.485,91711.0,1.0
2013-05-30,100.48,100.56,100.45,100.511,86999.0,1.0
2013-05-31,100.51,100.6,100.5,100.503,79605.0,1.0
2013-06-03,100.565,100.565,100.46,100.489,91586.0,1.0
2013-06-04,100.483,100.539,100.455,100.485,80708.0,1.0
2013-06-05,100.472,100.505,100.45,100.46,116934.0,1.0
2013-06-06,100.46,100.484,100.442,100.463,155120.0,1.0
2013-06-07,100.47,100.54,100.436,100.486,160579.0,1.0
2013-06-13,100.488,100.547,100.451,100.491,155560.0,1.0
2013-06-14,100.5,100.54,100.441,100.45,112054.0,1.0
2013-06-17,100.441,100.465,100.383,100.421,117988.0,1.0
2013-06-18,100.422,100.437,100.33,100.368,114005.0,1.0
2013-06-19,100.341,100.405,99.98,100.051,89283.0,1.0
2013-06-20,100.082,100.089,98.28,99.14,63176.0,1.0
2013-06-21,99.09,99.509,99.09,99.311,96271.0,1.0
2013-06-24,99.37,99.78,98.781,99.339,80438.0,1.0
2013-06-25,99.43,99.967,99.349,99.904,75957.0,1.0
2013-06-26,99.84,100.78,99.84,100.313,85533.0,1.0
2013-06-27,100.346,100.593,100.346,100.413,126224.0,1.0
2013-06-28,100.446,100.578,100.31,100.448,108476.0,1.0
2013-07-01,100.476,100.534,100.347,100.441,76341.0,1.0
2013-07-02,100.479,100.488,100.42,100.448,71865.0,1.0
2013-07-03,100.448,100.47,100.348,100.391,65937.0,1.0
2013-07-04,100.391,100.412,100.351,100.388,47680.0,1.0
2013-07-05,100.417,100.47,100.381,100.448,48185.0,1.0
2013-07-08,100.451,100.508,100.451,100.485,47815.0,1.0
2013-07-09,100.5,100.5,100.211,100.355,34424.0,1.0
2013-07-10,100.37,100.42,100.291,100.293,49400.0,1.0
2013-07-11,100.288,100.31,99.581,99.719,36794.0,1.0
2013-07-12,99.73,99.863,99.478,99.565,42024.0,1.0
2013-07-15,99.566,99.684,99.516,99.667,54235.0,1.0
2013-07-16,99.665,99.665,99.515,99.61,56794.0,1.0
2013-07-17,99.61,99.63,99.398,99.437,45015.0,1.0
2013-07-18,99.43,99.509,99.293,99.425,48857.0,1.0
2013-07-19,99.401,99.66,99.401,99.454,42097.0,1.0
2013-07-22,99.454,99.481,99.383,99.386,48813.0,1.0
2013-07-23,99.395,99.42,99.36,99.394,85910.0,1.0
2013-07-24,99.399,99.41,99.212,99.283,49320.0,1.0
2013-07-25,99.23,99.289,98.991,99.23,65362.0,1.0
2013-07-26,99.268,99.83,99.267,99.299,34624.0,1.0
2013-07-29,99.33,99.538,99.325,99.36,54247.0,1.0
2013-07-30,99.36,99.97,99.36,99.475,52812.0,1.0
2013-07-31,99.525,99.69,99.49,99.662,78347.0,1.0
2013-08-01,99.681,99.78,99.66,99.761,78904.0,1.0
2013-08-02,99.83,99.88,99.542,99.56,49201.0,1.0
2013-08-05,99.572,99.639,99.527,99.56,82714.0,1.0
2013-08-06,99.576,99.628,99.535,99.57,83456.0,1.0
2013-08-07,99.62,99.62,99.18,99.226,52913.0,1.0
2013-08-08,99.276,99.29,98.983,99.07,52926.0,1.0
2013-08-09,99.03,99.221,99.015,99.041,63743.0,1.0
2013-08-12,99.04,99.118,98.881,98.92,63488.0,1.0
2013-08-13,98.93,98.977,98.736,98.75,62007.0,1.0
2013-08-14,98.75,98.788,98.471,98.481,57543.0,1.0
